municipio,codigo_ibge,taxa_100k_22,taxa_100k_23,taxa_100k_24,populacao_22,populacao_23,populacao_24
adamantina,3500105,1651.92,1686.34,1790.02,34687,35165.0,35642
adolfo,3500204,2045.51,1630.8,2032.16,4351,4415.0,4478
aguai,3500303,1312.67,1416.26,2587.57,32072,32480.0,32888
aguas da prata,3500402,1221.33,1684.64,1392.24,7369,7420.0,7470
aguas de lindoia,3500501,1238.15,1238.39,1331.87,17930,18088.0,18245
aguas de santa barbara,3500550,1616.27,1865.06,1539.08,7177,7292.0,7407
aguas de sao pedro,3500600,1690.65,1639.93,1307.88,2780,2805.0,2829
agudos,3500709,1640.13,1603.97,1797.89,37680,38280.0,38879
alambari,3500758,1563.26,1523.41,1406.0,6141,6236.0,6330
alfredo marcondes,3500808,832.4,1377.47,2107.11,4445,4501.0,4556
altair,3500907,1101.13,1760.46,1638.4,3451,3465.0,3479
altinopolis,3501004,1545.96,1713.07,1428.07,16818,16987.0,17156
alto alegre,3501103,937.26,932.16,669.59,3841,3862.0,3883
aluminio,3501152,1479.68,1553.36,1665.62,17301,17446.0,17591
alvares florence,3501202,1532.57,1368.13,1407.74,3915,3947.0,3978
alvares machado,3501301,1130.07,1380.03,1320.35,27255,27753.0,28250
alvaro de carvalho,3501400,1455.91,1195.38,1511.44,4808,4852.0,4896
alvinlandia,3501509,727.9,1274.1,821.07,2885,2904.0,2923
americana,3501608,2303.15,2441.43,2143.89,237240,241948.0,246655
americo brasiliense,3501707,1474.91,1686.23,1744.82,33019,33388.0,33757
americo de campos,3501806,1431.01,1029.88,1271.97,5870,5923.0,5975
amparo,3501905,1227.8,1420.21,1464.49,68008,68863.0,69717
analandia,3502002,1917.63,1488.03,1900.09,4589,4637.0,4684
andradina,3502101,2236.42,2244.84,2113.12,59783,60628.0,61473
angatuba,3502200,1586.05,1186.8,1036.23,24022,24267.0,24512
anhembi,3502309,1586.18,1451.05,1526.19,5674,5720.0,5766
