codigo_ibge,pop_censo_22,pop_estimada_24,municipio
3503406,8130,8280,arealva
3507902,23898,24423,brotas
3518503,15013,15268,guarei
3544103,44170,45317,rio grande da serra
3551207,3704,3769,sarutaia
3556453,50415,52103,vargem grande paulista
3515400,16641,16984,fartura
3545605,14018,14203,santa adelia
3542800,3132,3166,ribeira
3527256,1950,1968,lourdes
3506508,118979,122988,birigui
3521150,6761,7037,ipigua
3536307,14512,14837,patrocinio paulista
3540101,3395,3443,pongai
3550001,10337,10497,sao luiz do paraitinga
3500501,17930,18245,aguas de lindoia
3531100,61951,64519,mongagua
3537701,5519,5623,piacatu
3544251,17440,17533,rosana
3549201,2580,2622,sao joao das duas pontes
3553500,7996,8122,tapirai
3516200,352536,364331,franca
3544806,6437,6612,sales
3556206,126373,131277,valinhos
3535309,19594,19767,palmital
3549508,7626,7690,sao jose da bela vista
3554607,2464,2490,timburi
3522703,39493,40464,itapolis
3523206,44438,45327,itarare
3534500,2470,2504,oscar bressane
3554201,4127,4142,tejupa
3554904,6804,7013,tres fronteiras
3523909,168240,174561,itu
3547304,154105,162341,santana de parnaiba
3510203,46337,47403,capao bonito
3523107,369275,382521,itaquaquecetuba
3533700,4331,4412,ocaucu
3540408,4127,4185,populina
3556354,10512,10805,vargem
3503158,2330,2355,arapei
3512308,15232,15381,conchas
3515806,1487,1492,flora rica
3528700,4573,4627,maraba paulista
3529005,237627,246627,marilia
3537503,8737,8969,pereiras
3546603,34794,36098,santa fe do sul
3507506,145155,150442,botucatu
3501509,2885,2923,alvinlandia
3518859,7320,7462,guatapara
3527108,74779,76729,lins
3541208,14490,14772,presidente bernardes
3504909,9969,10109,bananal
3508405,47011,48473,cabreuva
3517406,39279,40424,guaira
3521200,4046,4091,iporanga
3522604,72022,73919,itapira
3548906,254857,265294,sao carlos
3519501,6385,6461,ibirarema
3522406,89728,92324,itapeva
3548104,6126,6237,santo antonio do jardim
3552908,6260,6399,taciba
3553708,52260,53322,taquaritinga
3504404,11263,11438,avanhandava
3519600,60033,61908,ibitinga
3547007,5243,5314,santa maria da serra
3515905,2733,2756,floreal
3518305,31236,32436,guararema
3526506,9689,9909,lavinia
3541901,9159,9146,queluz
3552551,3408,3464,suzanapolis
3514700,6205,6295,echapora
3501608,237240,246655,americana
3510807,28083,28786,casa branca
3516507,2763,2811,gabriel monteiro
3532843,2032,2058,nova canaa paulista
3533007,19419,19725,nova granada
3539509,33674,34416,pitangueiras
3541109,3804,3841,presidente alves
3544301,10832,11095,roseira
3545803,183347,189338,santa barbara doeste
3506904,10460,10688,bofete
3534104,6085,6180,oriente
3504503,92805,96098,avare
3508306,4299,4362,cabralia paulista
3513405,74961,76513,cruzeiro
3512407,24514,25130,cordeiropolis
3519105,10437,10633,iacanga
3530102,27983,28737,mirandopolis
3502002,4589,4684,analandia
3504701,3887,3963,balbinos
3520426,13419,13955,ilha comprida
3518008,1968,1999,guarani doeste
3518800,1291771,1345364,guarulhos
3525300,133497,137323,jau
3544905,11411,11654,sales oliveira
3547908,6775,6917,santo antonio da alegria
3527801,3981,4017,lupercio
3531803,64662,67296,monte mor
3540804,18496,18994,potirendaba
3542909,10989,11079,ribeirao bonito
3548401,3899,3933,santopolis do aguapei
3554953,6778,6947,tuiuti
3506607,29683,30526,biritiba mirim
3546207,4277,4365,santa cruz da conceicao
3550209,32039,32904,sao miguel arcanjo
3551702,126887,131600,sertaozinho
3554656,2046,2063,torre de pedra
3529500,6159,6369,mendonca
3534609,31272,32099,osvaldo cruz
3537156,2804,2838,pedrinhas paulista
3548203,7133,7294,santo antonio do pinhal
3510005,29449,30172,candido mota
3527306,51847,54111,louveira
3538204,15224,15605,pinhalzinho
3539400,15108,15554,piratininga
3509502,1139047,1185977,campinas
3524006,70616,74119,itupeva
3538006,165428,172027,pindamonhangaba
3549003,2602,2629,sao francisco
3550100,37289,38166,sao manuel
3554805,51173,53083,tremembe
3507001,61081,63415,boituva
3517901,10350,10542,guaraci
3503950,1842,1873,aspasia
3508207,4356,4447,buritizal
3512100,6629,6781,colombia
3515186,39816,40681,espirito santo do pinhal
3528205,3963,4048,macedonia
3535101,9650,9709,palmares paulista
3539103,18370,18836,pirapora do bom jesus
3507605,176811,184634,braganca paulista
3526407,26261,27009,laranjal paulista
3541604,35131,35991,promissao
3553906,6536,6635,tarabai
3505609,32092,33181,barrinha
3511003,19977,20418,castilho
3515004,250691,259323,embu das artes
3516705,42110,43115,garca
3534203,6024,6145,orindiuva
3543808,9259,9357,rinopolis
3548005,23244,23779,santo antonio de posse
3522901,13659,13984,itapui
3533502,38324,39435,novo horizonte
3524105,37571,38451,ituverava
3532405,18217,18620,nazare paulista
3532603,9852,9944,nhandeara
3549102,92547,95762,sao joao da boa vista
3554102,310739,321298,taubate
3502101,59783,61473,andradina
3537800,52970,54237,piedade
3508009,20250,20674,buri
3531001,1937,1954,moncoes
3547809,748919,778711,santo andre
3550605,79484,81342,sao roque
3556404,40133,41226,vargem grande do sul
3503604,10130,10257,areiopolis
3502507,32569,33223,aparecida
3516101,3851,3987,florinea
3516804,3252,3235,gastao vidigal
3528502,93853,97399,mairipora
3541307,39505,40383,presidente epitacio
3554706,9335,9484,torrinha
3525805,4254,4308,julio mesquita
3526704,98161,101316,leme
3545001,15202,15396,salesopolis
3516408,144849,149786,franco da rocha
3533908,55074,56701,olimpia
3546405,46442,47677,santa cruz do rio pardo
3509809,4888,4991,campos novos paulista
3530201,15917,16069,mirante do paranapanema
3542107,8965,9133,rafard
3520004,23106,23430,igaracu do tiete
3538105,14542,14721,pindorama
3504008,101409,104642,assis
3513306,2108,2129,cruzalia
3513603,22110,22456,cunha
3540606,56497,58345,porto feliz
3555208,1818,1839,turiuba
3507100,22006,22501,bom jesus dos perdoes
3556800,17414,17681,viradouro
3519071,236641,247331,hortolandia
3546702,23611,24107,santa gertrudes
3555703,1603,1628,uniao paulista
3521002,36459,37999,ipero
3535804,19395,19799,paranapanema
3545159,8161,8371,saltinho
3502754,21522,22168,aracariguama
3521804,25180,25930,itai
3529906,18553,18679,miracatu
3540705,52649,53940,porto ferreira
3543907,201418,208857,rio claro
